Year,China,Independent Indian States,India,British Empire,NATO + Aligned,US,Russian Empire,USSR + Aligned,Japanese Empire,Ottoman Empire,Other European Empires,Other
1750,37.19,20.45,0.0,9.19,0.0,0.0,0.0,0.0,0.0,2.55,12.9,17.7
1760,37.31,16.33,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.5,13.03,17.82
1770,37.23,15.86,0.0,13.03,0.0,0.22,0.0,0.0,0.0,2.48,13.22,17.99
1780,36.93,12.11,0.0,16.54,0.0,0.36,0.0,0.0,0.0,2.46,13.42,18.15
1790,36.42,11.78,0.0,16.91,0.0,0.6,0.0,0.0,0.0,2.47,13.44,18.36
1800,35.46,8.28,0.0,20.03,0.0,0.98,0.0,0.0,0.0,2.66,14.09,18.49
1810,34.43,8.03,0.0,20.0,0.0,1.6,0.15,0.0,0.0,2.7,13.58,19.53
1820,32.65,4.78,0.0,22.87,0.0,2.59,1.32,0.0,0.0,2.3,12.51,20.95
1830,30.55,4.54,0.0,23.06,0.0,3.55,1.69,0.0,0.0,2.16,13.09,21.38
1840,25.03,1.7,0.0,27.24,0.0,4.6,2.15,0.0,0.56,2.19,14.87,21.63
1850,23.06,1.62,0.0,26.61,0.0,6.21,2.77,0.0,0.51,2.22,15.09,21.89
1860,19.88,0.0,0.0,27.03,0.0,8.92,3.44,0.0,0.44,2.0,16.11,22.16
1870,17.25,0.0,0.0,26.31,0.0,10.95,4.37,0.0,3.46,1.9,15.53,20.25
1880,14.3,0.0,0.0,25.17,0.0,14.69,5.12,0.0,3.2,1.21,15.81,20.48
1890,12.56,0.0,0.0,24.96,0.0,16.35,6.02,0.0,3.22,1.12,14.76,21.01
1900,10.62,0.0,0.0,22.89,0.0,18.99,7.41,0.0,3.65,1.02,12.92,22.53
1910,8.45,0.0,0.0,22.06,0.0,22.12,8.07,0.0,3.49,0.92,11.99,22.94
1920,9.52,0.0,0.0,20.93,0.0,25.91,0.0,3.29,4.77,0.0,9.91,25.65
1930,7.68,0.0,0.0,19.62,0.0,23.53,0.0,6.94,4.62,0.0,10.6,26.93
1940,7.68,0.0,0.0,23.63,0.0,27.95,0.0,11.95,7.23,0.0,10.86,10.71
1950,5.18,0.0,4.2,1.82,21.9,27.78,0.0,14.75,0.0,0.0,5.99,18.35
1960,5.3,0.0,3.92,0.04,26.25,24.65,0.0,16.27,0.0,0.0,0.51,23.08
1970,5.23,0.0,3.43,0.0,25.18,22.61,0.0,15.89,0.0,0.0,0.43,27.21
1980,5.93,0.0,3.18,0.0,25.46,21.25,0.0,14.31,0.0,0.0,0.0,29.88
1990,7.81,0.0,4.04,0.0,27.39,21.49,0.0,0.1,0.0,0.0,0.0,39.15
2000,10.27,0.0,4.62,0.0,25.8,21.76,0.0,0.0,0.0,0.0,0.0,37.53
2010,14.6,0.0,5.9,0.0,21.47,17.08,0.0,0.0,0.0,0.0,0.0,40.92
2020,16.33,0.0,8.32,0.0,18.83,16.02,0.0,0.0,0.0,0.0,0.0,40.5
