year,temp_c,co2_ppm
2024,15.35,422.80
2023,15.26,419.37
2022,14.97,417.09
2021,14.94,414.70
2020,15.09,412.44
2019,15.06,410.08
2018,14.93,407.61
2017,15.00,405.22
2016,15.09,403.07
2015,14.99,399.65
2014,14.83,397.34
2013,14.77,395.40
2012,14.73,392.65
2011,14.71,390.62
2010,14.82,388.75
2009,14.76,386.50
2008,14.63,385.02
2007,14.74,382.90
2006,14.73,381.15
2005,14.78,378.98
2004,14.65,376.95
2003,14.73,375.14
2002,14.74,372.58
2001,14.65,370.57
2000,14.51,368.96
1999,14.51,367.79
1998,14.75,365.70
1997,14.62,363.04
1996,14.46,361.93
1995,14.57,360.18
1994,14.44,358.33
1993,14.38,356.83
1992,14.34,356.09
1991,14.53,355.40
1990,14.55,354.06
1989,14.36,352.79
1988,14.47,351.16
1987,14.44,348.68
1986,14.29,346.97
1985,14.24,345.54
1984,14.24,344.07
1983,14.42,342.53
1982,14.25,340.86
1981,14.44,340.11
1980,14.39,338.91
1979,14.29,336.86
1978,14.20,336.40
1977,14.32,335.95
1976,14.01,335.49
1975,14.10,335.03
1974,14.02,334.58
1973,14.24,334.12
1972,14.11,333.67
1971,13.99,333.21
1970,14.12,332.75
1969,14.16,332.30
1968,14.02,331.84
1967,14.08,331.38
1966,14.06,330.93
1965,14.00,330.47
1964,13.88,330.02
1963,14.14,329.56
1962,14.09,329.10
1961,14.15,328.65
1960,14.07,328.19
1959,14.13,327.73
1958,14.15,327.28
1957,14.15,326.82
1956,13.91,326.37
1955,13.99,325.91
1954,14.05,325.45
1953,14.24,325.00
1952,14.17,324.54
1951,14.10,324.08
1950,13.92,323.63
1949,14.00,323.17
1948,14.01,322.72
1947,14.07,322.26
1946,14.03,321.80
1945,14.17,321.35
1944,14.29,320.89
1943,14.19,320.43
1942,14.14,319.98
1941,14.14,319.52
1940,14.16,319.07
1939,14.10,318.61
1938,14.10,318.15
1937,14.10,317.70
1936,13.96,317.24
1935,13.89,316.78
1934,13.94,316.33
1933,13.80,315.87
1932,13.99,315.41
1931,14.03,314.96
1930,13.97,314.50
1929,13.75,314.05
1928,13.92,313.59
1927,13.92,313.13
1926,14.03,312.68
1925,13.90,312.22
1924,13.85,311.76
1923,13.86,311.31
1922,13.83,310.85
1921,13.91,310.40
1920,13.86,309.94
1919,13.80,309.48
1918,13.75,309.03
1917,13.59,308.57
1916,13.73,308.11
1915,13.96,307.66
1914,13.91,307.20
1913,13.73,306.75
1912,13.70,306.29
1911,13.61,305.83
1910,13.63,305.38
1909,13.60,304.92
1908,13.65,304.46
1907,13.68,304.01
1906,13.84,303.55
1905,13.76,303.10
1904,13.58,302.64
1903,13.63,302.18
1902,13.73,301.73
1901,13.88,301.27
1900,13.96,300.81
1899,13.86,300.36
1898,13.69,299.90
1897,13.89,299.45
1896,13.89,298.99
1895,13.79,298.53
1894,13.73,298.08
1893,13.72,297.62
1892,13.70,297.16
1891,13.77,296.71
1890,13.65,296.25
1889,13.93,295.79
1888,13.81,295.34
1887,13.62,294.88
1886,13.65,294.43
1885,13.67,293.97
1884,13.65,293.51
1883,13.80,293.06
1882,13.86,292.60
1881,13.92,292.14
1880,13.81,291.69
1879,13.87,291.23
1878,14.21,290.78
1877,14.13,290.32
1876,13.76,289.86
1875,13.77,289.41
1874,13.79,288.95
1873,13.85,288.49
1872,13.82,288.04
1871,13.79,287.58
1870,13.82,287.13
1869,13.88,286.67
1868,13.90,286.21
1867,13.94,285.76
1866,13.90,285.30
1865,13.85,284.84
1864,13.76,284.39
1863,13.80,283.93
1862,13.57,283.48
1861,13.66,283.02
1860,13.73,282.56
1859,13.88,282.11
1858,13.77,281.65
1857,13.58,281.19
1856,13.71,280.74
1855,13.83,280.28
1854,13.82,279.83
1853,13.81,279.37
1852,13.82,278.91
1851,13.78,278.46
1850,13.67,278.00
-1,14.65,277.00
-5000000,15.43,277.00
-10000000,15.68,277.00
-15000000,18.06,301.00
-20000000,16.68,324.00
-25000000,18.90,360.00
-30000000,17.82,397.00
-35000000,18.62,488.00
-40000000,21.15,579.00
-45000000,22.26,734.00
-50000000,24.96,890.00
-55000000,24.06,837.00
-60000000,22.16,785.00
-65000000,8.09,840.00
-70000000,20.76,896.00
-75000000,20.96,1034.00
-80000000,21.66,1172.00
-85000000,24.86,1190.00
-90000000,27.16,1209.00
-95000000,26.56,1347.00
-100000000,23.46,1484.00
-105000000,21.36,1567.00
-110000000,21.26,1649.00
-115000000,19.85,1678.00
-120000000,23.62,1707.00
-125000000,21.12,1778.00
-130000000,20.84,1850.00
-135000000,19.24,2073.00
-140000000,19.04,2296.00
-145000000,18.04,2212.00
-150000000,20.15,2128.00
-155000000,21.75,2341.00
-160000000,19.75,2555.00
-165000000,21.45,2478.00
-170000000,21.54,2401.00
-175000000,23.54,1878.00
-180000000,22.94,1356.00
-185000000,19.35,1300.00
-190000000,20.95,1244.00
-195000000,21.15,1384.00
-200000000,23.75,1524.00
-205000000,21.25,1450.00
-210000000,24.55,1375.00
-215000000,25.65,1504.00
-220000000,22.85,1633.00
-225000000,22.75,1544.00
-230000000,24.66,1455.00
-235000000,23.36,1722.00
-240000000,25.56,1989.00
-245000000,28.26,1846.00
-250000000,32.86,1703.00
-255000000,18.93,1114.00
-260000000,18.92,524.00
-265000000,16.70,464.00
-270000000,16.76,403.00
-275000000,15.07,377.00
-280000000,12.84,351.00
-285000000,14.23,361.00
-290000000,13.10,371.00
-295000000,10.72,361.00
-300000000,11.67,350.00
-305000000,13.53,351.00
-310000000,13.10,351.00
-315000000,12.04,363.00
-320000000,11.70,375.00
-325000000,16.41,421.00
-330000000,18.62,468.00
-335000000,18.41,613.00
-340000000,18.72,757.00
-345000000,19.02,986.00
-350000000,20.42,1215.00
-355000000,22.92,1467.00
-360000000,20.70,1719.00
-365000000,21.30,1985.00
-370000000,24.44,2251.00
-375000000,23.55,3268.00
-380000000,18.35,4285.00
-385000000,21.74,4026.00
-390000000,19.55,3767.00
-395000000,18.05,3469.00
-400000000,17.34,3170.00
-405000000,20.54,3131.00
-410000000,18.31,3091.00
-415000000,20.69,3492.00
-420000000,18.97,3892.00
-425000000,17.67,4326.00
-430000000,16.60,4759.00
-435000000,18.50,4716.00
-440000000,15.66,4672.00
-445000000,8.06,4556.00
-450000000,14.02,4439.00
-460000000,17.09,4331.00
-470000000,18.52,4963.00
-480000000,20.24,4839.00
-490000000,21.94,4843.00
-500000000,21.22,5290.00
-510000000,24.36,6271.00
-520000000,24.08,7331.00
-530000000,25.08,7148.00
-540000000,27.47,4814.00
-600000000,23.34,4856.30
-700000000,22.82,4927.63
-800000000,22.30,5000.00
-900000000,22.74,6324.56
-1000000000,23.19,8000.00
-1100000000,23.12,8970.83
-1200000000,23.05,10059.47
-1300000000,23.00,11280.22
-1400000000,22.94,12649.11
-1500000000,22.90,14184.12
-1600000000,22.86,15905.41
-1700000000,22.82,17835.59
-1800000000,22.79,20000.00
-1900000000,22.83,22797.05
-2000000000,22.88,25985.26
-2100000000,22.94,29619.36
-2200000000,23.00,33761.70
-2300000000,23.06,38483.35
-2400000000,23.13,43865.33
-2500000000,23.20,50000.00
-2600000000,23.01,53588.67
-2700000000,22.83,57434.92
-2800000000,22.64,61557.22
-2900000000,22.47,65975.40
-3000000000,22.29,70710.68
-3100000000,22.13,75785.83
-3200000000,21.96,81225.24
-3300000000,21.80,87055.06
-3400000000,21.64,93303.30
-3500000000,21.49,100000.00
-3600000000,21.34,107177.35
-3700000000,21.20,114869.84
-3800000000,21.06,123114.44
-3900000000,20.92,131950.79
-4000000000,20.78,141421.36
-4100000000,20.65,151571.66
-4200000000,20.52,162450.48
-4300000000,20.40,174110.11
-4400000000,20.28,186606.60
-4500000000,20.16,200000.00
