unit,year,allocation
Albania,1750,Ottoman Empire (1.00)
Albania,1760,Ottoman Empire (1.00)
Albania,1770,Ottoman Empire (1.00)
Albania,1780,Ottoman Empire (1.00)
Albania,1790,Ottoman Empire (1.00)
Albania,1800,Ottoman Empire (1.00)
Albania,1810,Ottoman Empire (1.00)
Albania,1820,Ottoman Empire (1.00)
Albania,1830,Ottoman Empire (1.00)
Albania,1840,Ottoman Empire (1.00)
Albania,1850,Ottoman Empire (1.00)
Albania,1860,Ottoman Empire (1.00)
Albania,1870,Ottoman Empire (1.00)
Albania,1880,Other (0.80) / Ottoman Empire (0.20)
Albania,1890,Other (0.90) / Ottoman Empire (0.10)
Albania,1900,Other (1.00)
Albania,1910,Other (1.00)
Albania,1920,Other (1.00)
Albania,1930,Other (1.00)
Albania,1940,Other (1.00)
Albania,1950,Other (1.00)
Albania,1960,Other (1.00)
Albania,1970,Other (1.00)
Albania,1980,Other (1.00)
Albania,1990,Other (1.00)
Albania,2000,Other (1.00)
Albania,2010,Other (1.00)
Albania,2020,Other (1.00)
Algeria,1750,Other (1.00)
Algeria,1760,Other (0.94) / French Empire (0.06)
Algeria,1770,Other (0.88) / French Empire (0.12)
Algeria,1780,Other (0.81) / French Empire (0.19)
Algeria,1790,Other (0.75) / French Empire (0.25)
Algeria,1800,Other (0.69) / French Empire (0.31)
Algeria,1810,Other (0.62) / French Empire (0.38)
Algeria,1820,Other (0.56) / French Empire (0.44)
Algeria,1830,French Empire (0.50) / Other (0.50)
Algeria,1840,French Empire (1.00)
Algeria,1850,French Empire (1.00)
Algeria,1860,French Empire (1.00)
Algeria,1870,French Empire (1.00)
Algeria,1880,French Empire (1.00)
Algeria,1890,French Empire (1.00)
Algeria,1900,French Empire (1.00)
Algeria,1910,French Empire (1.00)
Algeria,1920,French Empire (1.00)
Algeria,1930,French Empire (1.00)
Algeria,1940,French Empire (1.00)
Algeria,1950,French Empire (1.00)
Algeria,1960,French Empire (1.00)
Algeria,1970,Other (1.00)
Algeria,1980,Other (1.00)
Algeria,1990,Other (1.00)
Algeria,2000,Other (1.00)
Algeria,2010,Other (1.00)
Algeria,2020,Other (1.00)
Argentina,1750,Spanish Empire (1.00)
Argentina,1760,Spanish Empire (1.00)
Argentina,1770,Spanish Empire (1.00)
Argentina,1780,Spanish Empire (1.00)
Argentina,1790,Spanish Empire (1.00)
Argentina,1800,Spanish Empire (1.00)
Argentina,1810,Spanish Empire (0.80) / Other (0.20)
Argentina,1820,Other (0.60) / Spanish Empire (0.40)
Argentina,1830,Other (1.00)
Argentina,1840,Other (1.00)
Argentina,1850,Other (1.00)
Argentina,1860,Other (1.00)
Argentina,1870,Other (1.00)
Argentina,1880,Other (1.00)
Argentina,1890,Other (1.00)
Argentina,1900,Other (1.00)
Argentina,1910,Other (1.00)
Argentina,1920,Other (1.00)
Argentina,1930,Other (1.00)
Argentina,1940,Other (1.00)
Argentina,1950,Other (1.00)
Argentina,1960,Other (1.00)
Argentina,1970,Other (1.00)
Argentina,1980,Other (1.00)
Argentina,1990,Other (1.00)
Argentina,2000,Other (1.00)
Argentina,2010,Other (1.00)
Argentina,2020,Other (1.00)
Armenia,1750,Other (1.00)
Armenia,1760,Other (1.00)
Armenia,1770,Other (1.00)
Armenia,1780,Other (1.00)
Armenia,1790,Other (1.00)
Armenia,1800,Other (1.00)
Armenia,1810,Other (1.00)
Armenia,1820,Other (1.00)
Armenia,1830,Other (1.00)
Armenia,1840,Other (1.00)
Armenia,1850,Other (1.00)
Armenia,1860,Other (1.00)
Armenia,1870,Other (1.00)
Armenia,1880,Other (1.00)
Armenia,1890,Other (1.00)
Armenia,1900,Other (1.00)
Armenia,1910,Other (1.00)
Armenia,1920,USSR + Aligned (1.00)
Armenia,1930,USSR + Aligned (1.00)
Armenia,1940,USSR + Aligned (1.00)
Armenia,1950,USSR + Aligned (1.00)
Armenia,1960,USSR + Aligned (1.00)
Armenia,1970,USSR + Aligned (1.00)
Armenia,1980,USSR + Aligned (1.00)
Armenia,1990,Other (0.50) / USSR + Aligned (0.50)
Armenia,2000,Other (1.00)
Armenia,2010,Other (1.00)
Armenia,2020,Other (1.00)
Australia,1750,Other (1.00)
Australia,1760,Other (1.00)
Australia,1770,Other (1.00)
Australia,1780,Other (1.00)
Australia,1790,Other (0.60) / British Empire (0.40)
Australia,1800,British Empire (1.00)
Australia,1810,British Empire (1.00)
Australia,1820,British Empire (1.00)
Australia,1830,British Empire (1.00)
Australia,1840,British Empire (1.00)
Australia,1850,British Empire (1.00)
Australia,1860,British Empire (1.00)
Australia,1870,British Empire (1.00)
Australia,1880,British Empire (1.00)
Australia,1890,British Empire (1.00)
Australia,1900,British Empire (1.00)
Australia,1910,British Empire (1.00)
Australia,1920,British Empire (1.00)
Australia,1930,British Empire (1.00)
Australia,1940,British Empire (1.00)
Australia,1950,NATO + Aligned (1.00)
Australia,1960,NATO + Aligned (1.00)
Australia,1970,NATO + Aligned (1.00)
Australia,1980,NATO + Aligned (1.00)
Australia,1990,NATO + Aligned (1.00)
Australia,2000,NATO + Aligned (1.00)
Australia,2010,NATO + Aligned (1.00)
Australia,2020,NATO + Aligned (1.00)
Azerbaijan,1750,Other (1.00)
Azerbaijan,1760,Other (1.00)
Azerbaijan,1770,Other (1.00)
Azerbaijan,1780,Other (1.00)
Azerbaijan,1790,Other (1.00)
Azerbaijan,1800,Other (1.00)
Azerbaijan,1810,Other (1.00)
Azerbaijan,1820,Other (1.00)
Azerbaijan,1830,Other (1.00)
Azerbaijan,1840,Other (1.00)
Azerbaijan,1850,Other (1.00)
Azerbaijan,1860,Other (1.00)
Azerbaijan,1870,Other (1.00)
Azerbaijan,1880,Other (1.00)
Azerbaijan,1890,Other (1.00)
Azerbaijan,1900,Other (1.00)
Azerbaijan,1910,Other (1.00)
Azerbaijan,1920,USSR + Aligned (1.00)
Azerbaijan,1930,USSR + Aligned (1.00)
Azerbaijan,1940,USSR + Aligned (1.00)
Azerbaijan,1950,USSR + Aligned (1.00)
Azerbaijan,1960,USSR + Aligned (1.00)
Azerbaijan,1970,USSR + Aligned (1.00)
Azerbaijan,1980,USSR + Aligned (1.00)
Azerbaijan,1990,Other (0.50) / USSR + Aligned (0.50)
Azerbaijan,2000,Other (1.00)
Azerbaijan,2010,Other (1.00)
Azerbaijan,2020,Other (1.00)
Bangladesh,1750,Independent India (1.00)
Bangladesh,1760,Independent India (0.92) / British Empire (0.08)
Bangladesh,1770,Independent India (0.84) / British Empire (0.16)
Bangladesh,1780,Independent India (0.76) / British Empire (0.24)
Bangladesh,1790,Independent India (0.68) / British Empire (0.32)
Bangladesh,1800,Independent India (0.60) / British Empire (0.40)
Bangladesh,1810,British Empire (0.55) / Independent India (0.45)
Bangladesh,1820,British Empire (0.70) / Independent India (0.30)
Bangladesh,1830,British Empire (0.78) / Independent India (0.22)
Bangladesh,1840,British Empire (0.87) / Independent India (0.13)
Bangladesh,1850,British Empire (0.95) / Independent India (0.05)
Bangladesh,1860,British Empire (1.00)
Bangladesh,1870,British Empire (1.00)
Bangladesh,1880,British Empire (1.00)
Bangladesh,1890,British Empire (1.00)
Bangladesh,1900,British Empire (1.00)
Bangladesh,1910,British Empire (1.00)
Bangladesh,1920,British Empire (1.00)
Bangladesh,1930,British Empire (1.00)
Bangladesh,1940,British Empire (1.00)
Bangladesh,1950,Independent India (1.00)
Bangladesh,1960,Independent India (1.00)
Bangladesh,1970,Independent India (1.00)
Bangladesh,1980,Independent India (1.00)
Bangladesh,1990,Independent India (1.00)
Bangladesh,2000,Independent India (1.00)
Bangladesh,2010,Independent India (1.00)
Bangladesh,2020,Independent India (1.00)
Belarus,1750,Other (1.00)
Belarus,1760,Other (1.00)
Belarus,1770,Other (1.00)
Belarus,1780,Other (1.00)
Belarus,1790,Other (1.00)
Belarus,1800,Other (1.00)
Belarus,1810,Other (1.00)
Belarus,1820,Other (1.00)
Belarus,1830,Other (1.00)
Belarus,1840,Other (1.00)
Belarus,1850,Other (1.00)
Belarus,1860,Other (1.00)
Belarus,1870,Other (1.00)
Belarus,1880,Other (1.00)
Belarus,1890,Other (1.00)
Belarus,1900,Other (1.00)
Belarus,1910,Other (1.00)
Belarus,1920,USSR + Aligned (1.00)
Belarus,1930,USSR + Aligned (1.00)
Belarus,1940,USSR + Aligned (1.00)
Belarus,1950,USSR + Aligned (1.00)
Belarus,1960,USSR + Aligned (1.00)
Belarus,1970,USSR + Aligned (1.00)
Belarus,1980,USSR + Aligned (1.00)
Belarus,1990,Other (0.50) / USSR + Aligned (0.50)
Belarus,2000,Other (1.00)
Belarus,2010,Other (1.00)
Belarus,2020,Other (1.00)
Belgium,1750,Other (1.00)
Belgium,1760,Other (1.00)
Belgium,1770,Other (1.00)
Belgium,1780,Other (1.00)
Belgium,1790,Other (1.00)
Belgium,1800,Other (1.00)
Belgium,1810,Other (1.00)
Belgium,1820,Other (1.00)
Belgium,1830,Other (1.00)
Belgium,1840,Other (1.00)
Belgium,1850,Other (1.00)
Belgium,1860,Other (1.00)
Belgium,1870,Other (1.00)
Belgium,1880,Other (1.00)
Belgium,1890,Other (1.00)
Belgium,1900,Other (1.00)
Belgium,1910,Other (1.00)
Belgium,1920,Other (1.00)
Belgium,1930,Other (1.00)
Belgium,1940,Other (1.00)
Belgium,1950,NATO + Aligned (1.00)
Belgium,1960,NATO + Aligned (1.00)
Belgium,1970,NATO + Aligned (1.00)
Belgium,1980,NATO + Aligned (1.00)
Belgium,1990,NATO + Aligned (1.00)
Belgium,2000,NATO + Aligned (1.00)
Belgium,2010,NATO + Aligned (1.00)
Belgium,2020,NATO + Aligned (1.00)
Benin,1750,Other (1.00)
Benin,1760,Other (1.00)
Benin,1770,Other (1.00)
Benin,1780,Other (1.00)
Benin,1790,Other (1.00)
Benin,1800,Other (1.00)
Benin,1810,Other (1.00)
Benin,1820,Other (1.00)
Benin,1830,Other (1.00)
Benin,1840,Other (1.00)
Benin,1850,Other (1.00)
Benin,1860,Other (1.00)
Benin,1870,Other (1.00)
Benin,1880,Other (1.00)
Benin,1890,Other (1.00)
Benin,1900,French Empire (1.00)
Benin,1910,French Empire (1.00)
Benin,1920,French Empire (1.00)
Benin,1930,French Empire (1.00)
Benin,1940,French Empire (1.00)
Benin,1950,French Empire (1.00)
Benin,1960,French Empire (0.50) / Other (0.50)
Benin,1970,Other (1.00)
Benin,1980,Other (1.00)
Benin,1990,Other (1.00)
Benin,2000,Other (1.00)
Benin,2010,Other (1.00)
Benin,2020,Other (1.00)
Bolivia,1750,Spanish Empire (1.00)
Bolivia,1760,Spanish Empire (1.00)
Bolivia,1770,Spanish Empire (1.00)
Bolivia,1780,Spanish Empire (1.00)
Bolivia,1790,Spanish Empire (1.00)
Bolivia,1800,Spanish Empire (1.00)
Bolivia,1810,Spanish Empire (0.80) / Other (0.20)
Bolivia,1820,Other (0.60) / Spanish Empire (0.40)
Bolivia,1830,Other (1.00)
Bolivia,1840,Other (1.00)
Bolivia,1850,Other (1.00)
Bolivia,1860,Other (1.00)
Bolivia,1870,Other (1.00)
Bolivia,1880,Other (1.00)
Bolivia,1890,Other (1.00)
Bolivia,1900,Other (1.00)
Bolivia,1910,Other (1.00)
Bolivia,1920,Other (1.00)
Bolivia,1930,Other (1.00)
Bolivia,1940,Other (1.00)
Bolivia,1950,Other (1.00)
Bolivia,1960,Other (1.00)
