country,start_decade,end_decade,bloc,rule_type
Afghanistan,1820,2010,Other,default
Albania,1820,2010,Other,default
Algeria,1820,2010,Other,default
Angola,1950,2010,Other,default
Argentina,1800,2010,Other,default
Armenia,1950,2010,Other,default
Australia,1820,2010,Other,default
Austria,1820,2010,Other,default
Azerbaijan,1950,2010,Other,default
Bahrain,1950,2010,Other,default
Bangladesh,1950,2010,Other,default
Barbados,1950,2010,Other,default
Belarus,1950,2010,Other,default
Belgium,1750,2010,Other,default
Benin,1950,2010,Other,default
Bolivia (Plurinational State of),1820,2010,Other,default
Bosnia and Herzegovina,1950,2010,Other,default
Botswana,1950,2010,Other,default
Brazil,1800,2010,Other,default
Bulgaria,1820,2010,Other,default
Burkina Faso,1950,2010,Other,default
Burundi,1950,2010,Other,default
Cabo Verde,1950,2010,Other,default
Cambodia,1820,2010,Other,default
Cameroon,1950,2010,Other,default
Canada,1820,2010,Other,default
Central African Republic,1950,2010,Other,default
Chad,1950,2010,Other,default
Chile,1800,2010,Other,default
China,1750,2010,Other,default
"China, Hong Kong SAR",1820,2010,Other,default
Colombia,1800,2010,Other,default
Comoros,1950,2010,Other,default
Congo,1950,2010,Other,default
Costa Rica,1820,2010,Other,default
Croatia,1950,2010,Other,default
Cuba,1750,2010,Other,default
Cyprus,1950,2010,Other,default
Czech Republic,1950,2010,Other,default
Czechoslovakia,1820,2010,Other,default
Côte d'Ivoire,1880,2010,Other,default
D.P.R. of Korea,1820,2010,Other,default
D.R. of the Congo,1950,2010,Other,default
Denmark,1820,2010,Other,default
Djibouti,1950,2010,Other,default
Dominica,1820,2010,Other,default
Dominican Republic,1950,2010,Other,default
Ecuador,1820,2010,Other,default
Egypt,1820,2010,Other,default
El Salvador,1820,2010,Other,default
Equatorial Guinea,1950,2010,Other,default
Estonia,1850,2010,Other,default
Ethiopia,1820,2010,Other,default
Finland,1750,2010,Other,default
Former USSR,1820,2010,Other,default
Former Yugoslavia,1820,2010,Other,default
France,1750,2010,Other,default
Gabon,1950,2010,Other,default
Gambia,1950,2010,Other,default
Georgia,1950,2010,Other,default
Germany,1750,2010,Other,default
Ghana,1870,2010,Other,default
Greece,1820,2010,Other,default
Guatemala,1820,2010,Other,default
Guinea,1950,2010,Other,default
Guinea-Bissau,1950,2010,Other,default
Haiti,1820,2010,Other,default
Honduras,1820,2010,Other,default
Hungary,1820,2010,Other,default
Iceland,1950,2010,Other,default
India,1750,2010,Other,default
Indonesia,1810,2010,Other,default
Iran (Islamic Republic of),1820,2010,Other,default
Iraq,1820,2010,Other,default
Ireland,1820,2010,Other,default
Israel,1950,2010,Other,default
Italy,1750,2010,Other,default
Jamaica,1820,2010,Other,default
Japan,1750,2010,Other,default
Jordan,1820,2010,Other,default
Kazakhstan,1950,2010,Other,default
Kenya,1950,2010,Other,default
Kuwait,1950,2010,Other,default
Kyrgyzstan,1950,2010,Other,default
Lao People's DR,1820,2010,Other,default
