country,start_decade,end_decade,bloc
Australia,1950,2020,NATO + Aligned
Belgium,1950,2020,NATO + Aligned
Belgium,2000,2020,NATO + Aligned
Bulgaria,1950,1990,USSR + Aligned
Bulgaria,2000,2020,NATO + Aligned
Canada,1950,2020,NATO + Aligned
Croatia,2000,2020,NATO + Aligned
Croatia,2010,2020,NATO + Aligned
Cuba,1960,1990,USSR + Aligned
Czech Republic,1950,1990,USSR + Aligned
Czech Republic,2000,2020,NATO + Aligned
Denmark,1950,2020,NATO + Aligned
Denmark,2000,2020,NATO + Aligned
East Germany,1950,1990,USSR + Aligned
Estonia,2000,2020,NATO + Aligned
Ethiopia,1980,1990,USSR + Aligned
Finland,1950,2020,NATO + Aligned
Finland,2000,2020,NATO + Aligned
Former USSR,1920,1990,USSR + Aligned
France,2000,2020,NATO + Aligned
Germany,1950,2020,NATO + Aligned
Germany,2000,2020,NATO + Aligned
Greece,1950,2020,NATO + Aligned
Greece,2000,2020,NATO + Aligned
Hungary,1950,1990,USSR + Aligned
Hungary,2000,2020,NATO + Aligned
Italy,1950,2020,NATO + Aligned
Italy,2000,2020,NATO + Aligned
Japan,1950,2020,NATO + Aligned
Laos,1960,1990,USSR + Aligned
Latvia,2000,2020,NATO + Aligned
Lithuania,2000,2020,NATO + Aligned
Luxembourg,1950,2020,NATO + Aligned
Luxembourg,2000,2020,NATO + Aligned
Mongolia,1960,1990,USSR + Aligned
Montenegro,2020,2020,NATO + Aligned
Netherlands,1950,2020,NATO + Aligned
Netherlands,2000,2020,NATO + Aligned
New Zealand,1950,2020,NATO + Aligned
North Korea,1950,2020,China
Norway,1950,2020,NATO + Aligned
Poland,1950,1990,USSR + Aligned
Poland,2000,2020,NATO + Aligned
Portugal,1950,2020,NATO + Aligned
Portugal,2000,2020,NATO + Aligned
Romania,1950,1990,USSR + Aligned
Romania,2000,2020,NATO + Aligned
Slovakia,1950,1990,USSR + Aligned
Slovakia,2000,2020,NATO + Aligned
Slovenia,2000,2020,NATO + Aligned
Slovenia,2010,2020,NATO + Aligned
South Korea,1950,2020,NATO + Aligned
Spain,1950,2020,NATO + Aligned
Spain,2000,2020,NATO + Aligned
Sweden,1950,2020,NATO + Aligned
Sweden,2000,2020,NATO + Aligned
Turkey,1950,2020,NATO + Aligned
Vietnam,1970,1990,USSR + Aligned
