Year,China,BRICS + Aligned,Ottoman Empire,Other European Empires,NATO + Aligned,India,British Empire,US,Japanese Empire,Russian Empire,USSR + Aligned,Other
1750,37.19,0.0,2.55,12.9,0.0,20.45,9.19,0.0,0.0,0.0,0.0,17.7
1760,37.31,0.0,2.5,13.03,0.0,16.33,13.0,0.0,0.0,0.0,0.0,17.82
1770,37.23,0.0,2.48,13.22,0.0,15.86,13.03,0.22,0.0,0.0,0.0,17.99
1780,36.93,0.0,2.46,13.42,0.0,12.11,16.54,0.36,0.0,0.0,0.0,18.15
1790,36.42,0.0,2.47,13.44,0.0,11.78,16.91,0.6,0.0,0.0,0.0,18.36
1800,35.46,0.0,2.66,14.09,0.0,8.28,20.03,0.98,0.0,0.0,0.0,18.49
1810,34.43,0.0,2.7,13.58,0.0,8.03,20.0,1.6,0.0,0.15,0.0,19.53
1820,32.65,0.0,2.3,12.51,0.0,4.78,22.87,2.59,0.0,1.32,0.0,20.95
1830,30.55,0.0,2.16,13.09,0.0,4.54,23.06,3.55,0.0,1.69,0.0,21.38
1840,25.03,0.0,2.19,14.87,0.0,1.7,27.24,4.6,0.56,2.15,0.0,21.63
1850,23.06,0.0,2.22,15.09,0.0,1.62,26.61,6.21,0.51,2.77,0.0,21.89
1860,19.88,0.0,2.0,16.11,0.0,0.0,27.03,8.92,0.44,3.44,0.0,22.16
1870,17.25,0.0,1.9,15.53,0.0,0.0,26.31,10.95,3.46,4.37,0.0,20.25
1880,14.3,0.0,1.21,15.81,0.0,0.0,25.17,14.69,3.2,5.12,0.0,20.48
1890,12.56,0.0,1.12,14.76,0.0,0.0,24.96,16.35,3.22,6.02,0.0,21.01
1900,10.62,0.0,1.02,12.92,0.0,0.0,22.89,18.99,3.65,7.41,0.0,22.53
1910,8.45,0.0,0.92,11.99,0.0,0.0,22.06,22.12,3.49,8.07,0.0,22.94
1920,9.52,0.0,0.0,9.91,0.0,0.0,20.93,25.91,4.77,0.0,3.29,25.65
1930,7.68,0.0,0.0,10.6,0.0,0.0,19.62,23.53,4.62,0.0,6.94,26.93
1940,7.68,0.0,0.0,10.86,0.0,0.0,23.63,27.95,7.23,0.0,11.95,10.71
1950,5.18,0.0,0.0,5.99,25.88,4.2,1.82,27.78,0.0,0.0,14.75,14.37
1960,5.3,0.0,0.0,0.51,32.6,3.92,0.04,24.65,0.0,0.0,16.27,16.73
1970,5.23,0.0,0.0,0.43,35.08,3.43,0.0,22.61,0.0,0.0,15.89,17.31
1980,5.93,0.0,0.0,0.0,36.95,3.18,0.0,21.25,0.0,0.0,14.31,18.39
1990,7.81,0.0,0.0,0.0,40.62,4.04,0.0,21.49,0.0,0.0,0.1,25.92
2000,10.27,0.0,0.0,0.0,38.95,4.62,0.0,21.76,0.0,0.0,0.0,24.38
2010,14.6,7.21,0.0,0.0,33.69,5.9,0.0,17.08,0.0,0.0,0.0,21.49
2020,16.43,6.26,0.0,0.0,30.89,8.37,0.0,16.12,0.0,0.0,0.0,21.87
